Temp Th_NH3 Th_NH2 Th_NH Th_N Th_NN Th_NNH Th_N2 Th_H Th P_N2 P_H2 P_NH3
100.0 0.15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.85 0.0 0.0 0.0
100.0001 0.15 3.638733138521423e-47 4.383166453419763e-68 8.60849400784408e-120 2.12665259085e-313 2.3422441486536345e-266 1.856996757046e-311 3.638733138521423e-47 0.8499999999999995 -0.0 8.404673414185553e-134 8.105344637364739e-33
100.0003534123652 0.1499999999999999 1.286162979205291e-46 5.4756920673351284e-67 3.8014399491339986e-118 4.17799762218777e-310 4.568026464811342e-263 1.29064424323015e-307 1.286162979205291e-46 0.8499999999999998 0.0 3.7116025575300374e-132 2.8648211067856767e-32
100.00112443452397 0.14999999999999994 4.0939577329118894e-46 5.546389238733566e-66 1.2258579254477226e-116 4.358703288725221e-307 4.752023558871893e-260 4.283547789644634e-304 4.0939577329118894e-46 0.85 -0.0 1.1970528725571415e-130 9.117686932260374e-32
100.00784866097085 0.14999999999999997 2.8688366946086984e-45 2.716804657427248e-64 4.213957661390611e-114 5.214862981897313e-302 5.634129362127087e-255 3.564575686768806e-298 2.8688366946086984e-45 0.85 5.068773e-318 4.1198979100961244e-128 6.381483902847483e-31
100.07033327828 0.14999999999999997 2.666716432756354e-44 2.2935840067163506e-62 3.352416845677358e-111 3.6781373954221404e-296 3.6785607526268907e-249 2.1778271349521064e-291 2.666716432756354e-44 0.85 2.77573213880775e-310 3.315143598245394e-125 5.864850574052494e-30
100.71843982324941 0.14999999999999997 4.078010396592056e-43 4.140028655106239e-60 1.0646855613107316e-107 1.1327634073037385e-288 5.187945048966849e-242 5.037149245806467e-283 4.078010396592056e-43 0.85 6.687648397536984e-301 1.2102205508829922e-121 7.871385315911593e-29
101.51843982324941 0.14999999999999997 1.498727290833512e-42 3.913334596502824e-59 4.360006776408918e-106 7.371589788148849e-285 1.3344945356678417e-238 5.149502801078022e-279 1.498727290833512e-42 0.85 1.5947029134523338e-296 6.178600905775714e-120 2.392288733209798e-28
102.31843982324942 0.14999999999999997 4.188588804897784e-42 2.082277482435243e-58 7.550532763792777e-105 8.39807158512144e-282 6.173654169745402e-236 7.1388465447977195e-276 4.188588804897784e-42 0.85 3.917777818640514e-293 1.3895545242853006e-118 5.390544228844199e-28
103.11843982324942 0.14999999999999997 1.0728120437095642e-41 9.179508405198991e-58 9.822015411333118e-104 5.289851410457401e-279 1.6101841618923916e-233 5.073622409053548e-273 1.0728120437095642e-41 0.85 4.5253172238495996e-290 2.4075368827615725e-117 1.0938657740197879e-27
103.91843982324941 0.14999999999999997 2.640960225981633e-41 3.7216090592990344e-57 1.1206253534050882e-102 2.5122516351191593e-276 3.2173181849211475e-231 2.6396510880694812e-270 2.640960225981633e-41 0.85 3.6879302052878975e-287 3.7051086975744965e-116 2.1111415979399113e-27
104.71843982324941 0.14999999999999997 6.351084844878918e-41 1.4412553557870522e-56 1.1869174410914681e-101 1.008189853925281e-273 5.5095799431149685e-229 1.1456810855880184e-267 6.351084844878915e-41 0.85 2.460263128200228e-284 5.3169748003904285e-115 3.9597244441999016e-27
105.51843982324941 0.14999999999999997 1.5014395644526708e-40 5.413783172817737e-56 1.1945273228541871e-100 3.583428127356332e-271 8.467220182940119e-227 4.377833641630867e-265 1.5014395644526716e-40 0.85 1.4284343052190557e-281 7.249384768637479e-114 7.289640850917005e-27
