Temp N2 H2 NH3
400.0 0.0 -1.034 -0.027
420.0 0.0 -0.997 -0.002
440.0 0.0 -0.989 0.001
460.0 0.0 -0.97 0.006
480.0 0.0 -0.923 0.023
500.0 0.0 -0.818 0.081
520.0 0.0 -0.624 0.222
540.0 0.0 -0.379 0.44
560.0 0.0 -0.186 0.652
580.0 0.0 -0.082 0.795
600.0 0.0 -0.035 0.877
620.0 0.0 -0.015 0.923
640.0 0.0 -0.007 0.95
660.0 0.0 -0.003 0.966
680.0 0.0 -0.002 0.976
700.0 0.0 -0.001 0.983
720.0 0.0 -0.001 0.988
740.0 0.0 -0.0 0.991
760.0 0.0 -0.0 0.993
780.0 0.0 -0.0 0.995
800.0 0.0 -0.0 0.996
820.0 0.0 -0.0 0.997
840.0 0.0 -0.0 0.997
860.0 0.0 -0.0 0.998
880.0 0.0 -0.0 0.998
