Temp Th_NH3 Th_NH2 Th_NH Th_N Th_NN Th_NNH Th_N2 Th_H Th P_N2 P_H2 P_NH3
100.0 0.35 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.65 0.0 0.0 0.0
100.0001 0.35 1.9867958893830234e-46 2.920401603060878e-69 8.877629505745426e-118 5.074e-321 1.1713062614787907e-272 -0.0 1.9867958893830234e-46 0.65 -0.0 9.218368236615909e-129 1.9782351116437044e-30
100.00033458304303 0.3499999999999998 6.648400566815848e-46 3.269906858373292e-68 3.326354803170634e-116 2.4010227e-317 1.6446987040317465e-269 0.0 6.648400566815848e-46 0.6500000000000001 0.0 3.4541556594715506e-127 6.619438208430542e-30
100.00112266863823 0.3499999999999999 2.2318573142301905e-45 3.683970352153178e-67 1.2581961962676517e-114 1.15398690614e-313 2.3544553371088612e-266 -0.0 2.2318573142301905e-45 0.6500000000000002 -0.0 1.3067017407980806e-125 2.2217788727273755e-29
100.00744927873517 0.35000000000000003 1.4864434636878735e-44 1.6305494599700737e-65 3.7123412043500956e-112 6.72707386595115e-308 2.058985846868126e-261 -0.0 1.4864434636878735e-44 0.6500000000000004 -0.0 3.8593706900418724e-123 1.4778279166764385e-28
100.05951182246946 0.3500000000000001 1.224712675117554e-43 1.0870930539153407e-63 2.054693663830845e-109 1.7749385856223911e-301 6.547458129246866e-256 2.69206e-319 1.224712675117554e-43 0.6500000000000005 -0.0 2.154256568875547e-120 1.2046711598500237e-27
100.50606360391087 0.35000000000000014 1.3730118081693187e-42 1.1603346581616136e-61 2.6186731600489124e-106 4.77108145563075e-294 1.4782259771194443e-249 6.4071959397957e-311 1.3730118081693187e-42 0.6500000000000006 -0.0 2.980963570905148e-117 1.2237716556292573e-26
101.30606360391089 0.35000000000000014 6.11180609189978e-42 1.660497620494588e-60 1.8484859426057405e-104 2.162904144954675e-289 1.3612085172468174e-245 8.616697456972157e-306 6.11180609189978e-42 0.6500000000000007 3.4293e-320 2.5388590998144077e-115 4.435880817125374e-26
102.10606360391088 0.35000000000000014 1.796973189352707e-41 1.006811931109689e-59 3.598972757281573e-103 4.908552954842788e-286 9.638839802362667e-243 3.8646446243147203e-302 1.796973189352707e-41 0.6500000000000008 2.7068198e-316 6.2205436381660844e-114 1.0298166402317533e-25
102.90606360391088 0.35000000000000014 4.722386640059009e-41 4.801481326620948e-59 4.866754028706738e-102 4.7583888248711e-283 3.2957551444392294e-240 6.625957237194028e-299 4.722386640059009e-41 0.6500000000000009 7.2697878801e-313 1.0880088292330776e-112 2.0901555558600354e-25
103.70606360391088 0.35000000000000014 1.1840187808268471e-40 2.072187672317843e-58 5.635139434744909e-101 3.1859954767411453e-280 8.221890326062472e-238 7.503042187843691e-296 1.1840187808268471e-40 0.650000000000001 1.23240971316201e-309 1.6532708577529217e-111 3.9912879593500883e-25
