Temp Th_NH3 Th_NH2 Th_NH Th_N Th_NN Th_NNH Th_N2 Th_H Th P_N2 P_H2 P_NH3
100.0 0.15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.85 0.0 0.0 0.0
100.0001 0.15 1.1134790149289477e-46 2.1403112340268647e-69 8.508185271160794e-118 4.72e-321 8.227061421671874e-273 -0.0 1.1134790149289477e-46 0.8499999999999995 -0.0 2.895420333708241e-129 8.478150478473048e-31
100.0003534123652 0.1499999999999999 3.9357598536557745e-46 2.6738200864393208e-68 3.757117342956258e-116 3.2356413e-317 1.604571223022867e-269 0.0 3.9357598536557745e-46 0.8499999999999998 0.0 1.278636350805102e-127 2.996576128364891e-30
100.00112443452397 0.14999999999999994 1.2527898966162093e-45 2.7084216717035708e-67 1.2115385422025867e-114 1.07167168317e-313 1.6694106062623757e-266 -0.0 1.2527898966162093e-45 0.85 -0.0 4.123662419494775e-126 9.536893304350204e-30
100.00784866097085 0.14999999999999997 8.779318635637315e-45 1.3270149713581639e-65 4.163937067954364e-112 8.922173666662814e-308 1.981455709230109e-261 -0.0 8.779318635637315e-45 0.85 -0.0 1.4187904921934799e-123 6.674141225856138e-29
100.07033327828 0.14999999999999997 8.164339913102687e-44 1.1229902921895589e-63 3.306739141621242e-109 5.519100943065326e-301 1.3069467402693925e-255 9.8999e-319 8.164339913102687e-44 0.85 -0.0 1.1382716071971857e-120 6.127394185798198e-28
100.71843982324941 0.14999999999999997 1.2549234430959614e-42 2.0822576984806284e-61 1.0313289952445538e-105 1.4604334777487841e-292 2.0608803363095644e-248 2.8587829565791e-309 1.2549234430959614e-42 0.85 -5.0e-324 4.024739135513797e-117 8.127400669063741e-27
101.51843982324941 0.14999999999999997 4.647684835839125e-42 2.0437584403366056e-60 4.1381810955710546e-104 1.7770232668114047e-288 6.153928959334979e-245 8.64443860275563e-305 4.647684835839125e-42 0.85 4.0786e-319 1.9729799317848356e-115 2.4291814413871603e-26
102.31843982324942 0.14999999999999997 1.3105226233235116e-41 1.1336848759810807e-59 7.043892804937396e-103 2.9512866802427738e-285 3.3346280150742015e-242 2.7215275718684362e-301 1.3105226233235116e-41 0.85 2.162244964e-315 4.263261201863504e-114 5.372198348548614e-26
103.11843982324942 0.14999999999999997 3.389313692996783e-41 5.224026160762407e-59 9.03419995941061e-102 2.524457155213642e-282 1.024735678884784e-239 4.053834462211845e-298 3.389313692996783e-41 0.85 4.96566641671e-312 7.107450133329921e-113 1.0682882520124457e-25
103.91843982324941 0.14999999999999997 8.428897767658226e-41 2.2171641829632352e-58 1.0187239876367608e-100 1.5847500087615538e-279 2.4201988189948416e-237 4.272476574827864e-295 8.428897767658226e-41 0.85 7.77880155704819e-309 1.0541090118141597e-111 2.0182831274302684e-25
104.71843982324941 0.14999999999999997 2.048293762416959e-40 8.994157866104093e-58 1.0681898936016594e-99 8.304752259212017e-277 4.904320481004646e-235 3.687340584394273e-292 2.048293762416959e-40 0.85 9.798620156217248e-306 1.459740938035856e-110 3.7032470089311074e-25
105.51843982324941 0.14999999999999997 4.893786039271019e-40 3.539212219289456e-57 1.0654280741245222e-98 3.8287900347484547e-274 8.91620154828174e-233 2.7659580824606805e-289 4.893786039271019e-40 0.85 1.0614124845842971e-302 1.9227823088136033e-109 6.666995684750342e-25
106.3184398232494 0.14999999999999997 1.1525073419375602e-39 1.35939928182754e-56 1.0207562153836554e-97 1.5887911465325848e-271 1.482636611792932e-230 1.8506176917830308e-286 1.1525073419375602e-39 0.85 1.0179425929403823e-299 2.4277429613356063e-108 1.1837751306086403e-24
107.11843982324942 0.14999999999999997 2.678592901932996e-39 5.111009496745863e-56 9.43601738690264e-97 5.997423305588305e-269 2.275327046242123e-228 1.1177778472557924e-283 2.678592901932996e-39 0.85 8.76075903920456e-297 2.9488102150302905e-107 2.0787411519988515e-24
107.91843982324941 0.14999999999999997 6.147732333205978e-39 1.883654086588493e-55 8.435640642429043e-96 2.0709673373186482e-266 3.237769587887355e-226 6.133013973680882e-281 6.147732333205978e-39 0.85 6.813134279977496e-294 3.45222499141138e-106 3.61574412825798e-24
108.71843982324941 0.14999999999999997 1.3939646196385138e-38 6.810703463330828e-55 7.303017327975183e-95 6.564127265843994e-264 4.284440033116998e-224 3.068431119121669e-278 1.3939646196385138e-38 0.85 4.8076694487605096e-291 3.900332914656226e-105 6.235326233362495e-24
109.51843982324941 0.14999999999999997 3.123622804905521e-38 2.4173091907141554e-54 6.128594183052991e-94 1.9145023132458081e-261 5.283253082267221e-222 1.4036680982948135e-275 3.1236228049055225e-38 0.85 3.0872769009501047e-288 4.256676193294e-104 1.0666817018540066e-23
110.31843982324942 0.14999999999999997 6.919228718379655e-38 8.426099473497186e-54 4.989251672098842e-93 5.148805435089775e-259 6.081731121459362e-220 5.884243851711335e-273 6.919228718379658e-38 0.85 1.8084416481072388e-285 4.491218395713646e-103 1.8108951988805528e-23
111.11843982324942 0.14999999999999997 1.5155191278037279e-37 2.8857362827621712e-53 3.943030584297919e-92 1.2791896942238098e-256 6.545681168795881e-218 2.264985525111697e-270 1.5155191278037295e-37 0.85 9.683702784438736e-283 4.5847023596372285e-102 3.051811339430246e-23
111.91843982324941 0.14999999999999997 3.2830405710646464e-37 9.713848891704423e-53 3.0271134815682295e-91 2.941012651112998e-254 6.596674948878776e-216 8.020519214866973e-268 3.283040571064647e-37 0.85 4.749457380111492e-280 4.531299758771717e-101 5.106518601962693e-23
112.71843982324941 0.14999999999999997 7.035653630832892e-37 3.2150792979594454e-52 2.258923714729869e-90 6.267791775458082e-252 6.2337671300574356e-214 2.6174524522261324e-265 7.035653630832901e-37 0.85 2.1376161741089967e-277 4.339084043291324e-100 8.485483625040235e-23
113.51843982324942 0.14999999999999997 1.4919179011118001e-36 1.0466771946927225e-51 1.6394922994492962e-89 1.2401799319784783e-249 5.531238471877705e-212 7.885759698002952e-263 1.4919179011118031e-36 0.85 8.844767617742849e-275 4.028338706443777e-99 1.4005056361505466e-22
114.31843982324942 0.14999999999999997 3.13107584724829e-36 3.3527773063962355e-51 1.1579892873952973e-88 2.281824875815366e-247 4.6143778137782876e-210 2.1969608025183563e-260 3.131075847248299e-36 0.85 3.370364587473451e-272 3.628163413184351e-98 2.296231961456543e-22
