Temp Th_NH3 Th_NH2 Th_NH Th_N Th_NN Th_NNH Th_N2 Th_H Th P_N2 P_H2 P_NH3
240 0.9999551567843529 2.8822945807106875e-10 1.0682524919725068e-6 3.328433721969218e-16 2.6993548883139986e-58 2.0231142495896035e-48 1.496732285253764e-51 2.13080165588446e-6 4.1643873295557906e-5 8.192939218394604e-44 2.995779258577739e-9 99999.00004377519
260 0.9979255579346434 1.6325453525299647e-9 0.0006277304117409792 2.1174944815447278e-10 1.1392726212328623e-44 1.130982034947534e-37 3.01571918835842e-37 0.0007872305417452882 0.0006594793359501049 7.398122710552712e-30 0.00023411627476518376 99999.00144671033
280 0.8418902406307597 2.2847957717808526e-8 0.12586018039333147 4.067245125312108e-6 2.2725133308095484e-34 3.2178709194487194e-29 3.779213232793519e-26 0.026189372103009145 0.006056475614009728 5.484522992963923e-19 0.11277160663349277 99999.03224570761
300 0.0607744505493225 2.656854493328587e-7 0.9266431506099605 8.856757161811766e-5 3.4417730159435846e-30 2.164441739134035e-25 2.9749227974447263e-22 0.008980260201093264 0.0035143065823790625 3.259986287266641e-14 0.922286004709908 99999.01249895585
320 0.0013417438829206518 2.265647427012576e-7 0.9972889907054776 0.0005599573490247197 2.8630783515683817e-27 3.89651004453533e-23 1.761508021899462e-20 0.0003211527501964159 0.0004867771562791294 5.121914730893492e-11 0.9979684637899078 99999.00080841371
340 6.595230502088338e-5 1.7740299762584457e-7 0.9970028836259097 0.002784943203204962 1.0354778524311793e-24 3.50279798585488e-21 7.903060188605285e-19 2.3350860344356235e-5 0.00012227479020897872 2.9069662497070852e-8 1.001168798911028 99999.0001458177
360 7.681413407876704e-6 1.4041832994477082e-7 0.9883502187095645 0.011576962023956704 1.948574864150598e-22 1.898861545542e-19 3.93053223326955e-17 3.852338437051818e-6 6.128703790809517e-5 8.114036164784653e-6 1.0057381478939653 99999.00004881952
380 9.616263023911932e-6 1.1128122455992665e-7 0.9591790681253819 0.04051895405999629 2.0275344526304483e-20 6.487309402303548e-18 1.0700308735104926e-14 6.626616120897079e-6 0.00028549837618787195 0.0012031813309209655 1.0235637855407704 99998.99788567121
400 2.04128523593812e-5 9.606515440200762e-8 0.8909526548092304 0.10701411226055989 9.72739518452245e-19 1.2736217068430734e-16 2.3140785215385255e-12 2.1019389207700946e-5 0.0019917770923025373 0.08665883587157924 1.3114398691615874 99998.8286948092
420 2.1852911323397093e-5 1.6223575581279673e-7 0.853555752439262 0.14006370933750772 9.62112327472991e-18 1.0502368343398252e-15 6.321833911206504e-11 6.136009425086718e-5 0.006297419942286174 1.6127569098224983 5.9018914471412325 99995.780840653
440 1.8704944480809052e-5 3.396419168631878e-7 0.8409936617431159 0.1443111819776846 5.244286093753585e-17 5.9164409864467e-15 5.481812324251813e-10 0.0001669526072955059 0.014511958238249457 12.238338902319047 37.77239383755951 99974.53799326801
460 1.5998219490135328e-5 6.618320132985921e-7 0.8221078073855633 0.14659553262125583 2.8796854418579067e-16 2.8121022616561778e-14 3.459451969954252e-9 0.0004137531252449804 0.030845151234399605 69.1912298047559 208.61548396550663 99860.64884448932
480 1.3724725484135426e-5 1.1795497755924842e-6 0.7897091257453268 0.14786425325252076 2.1089768241697203e-15 1.145658485416498e-13 1.797619881941023e-8 0.0009363306509130028 0.06149090178045943 326.52484988833413 980.5855876770548 99346.01273514278
500 1.1666607596183263e-5 1.8935563303170033e-6 0.7350106280452415 0.14728400034720632 2.0403238094622093e-14 3.9841859450219074e-13 7.818186984389082e-8 0.001935402060729583 0.11575740622564702 1306.2622027625184 3919.741578670356 97386.59334809835
520 9.546570794082948e-6 2.64730497430254e-6 0.6457029701582182 0.14308430480762904 1.9361942947303402e-13 1.1528612855790313e-12 2.8254702633919573e-7 0.0036420036570975274 0.20757999311757983 4381.647256747237 13145.800295592906 91235.91661184524
540 7.0256643824888465e-6 2.9850233029655755e-6 0.5055768556575654 0.1312312434943319 1.4734130993133788e-12 2.5655321617830617e-12 8.196878794351389e-7 0.006137697219012617 0.35703586107343654 11873.96919499552 35622.606942693994 76251.42484553912
560 4.086129758105661e-6 2.3219360402287942e-6 0.312866648346726 0.10493979188283528 7.517784067764136e-12 3.6304204094688766e-12 1.7252167631901362e-6 0.008672121035512029 0.5735753742506066 24215.9520370421 72648.32207404383 51567.67812805972
580 1.7400256116420795e-6 1.0922908344580027e-6 0.1370715682076535 0.06723324792192835 2.0288003478836212e-11 2.7115253169858404e-12 2.300641998476127e-6 0.009161209969344589 0.7865008279660434 35630.970462084646 106893.14484903873 28737.854704908495
600 6.534659449588396e-7 3.7280247439330644e-7 0.04848259493343304 0.03753722265412152 3.097016678265665e-11 1.335484810220846e-12 2.1144788380969966e-6 0.007477344228109828 0.9064864253906748 41897.458155652035 125692.47560708382 16204.99752063316
620 2.593074375653251e-7 1.1970023976731284e-7 0.016815625706180903 0.020841937134019894 3.6172853430259594e-11 6.050723764337926e-13 1.6606098189393929e-6 0.005473584832958215 0.9570162309029191 44900.0244446262 134700.1187157014 10199.91333883039
640 1.115347207814577e-7 3.9758188895942725e-8 0.00610816979148444 0.011970056329995473 3.827883286502449e-11 2.8174237477295107e-13 1.2464413282316242e-6 0.0039022850609135218 0.9780620642750614 46511.42619603333 139534.3003202489 6977.12967599235
660 5.0948779154561425e-8 1.3885558387287722e-8 0.002339140346635448 0.007106148214444342 3.901652535863725e-11 1.36329303889291e-13 9.294219165385417e-7 0.0027882157794701695 0.9878694970795175 47504.653693425906 142513.97260565683 4990.6832586422615
680 2.4341493536261662e-8 5.096649206293492e-9 0.0009407774128568974 0.004338963908434528 3.909258074561733e-11 6.827779225288108e-14 6.96778875387512e-7 0.0020134836381029884 0.9927482096841523 48169.92951561139 144509.79511032187 3660.1357158317114
700 1.2031563445997249e-8 1.958896029411274e-9 0.0003953598548540847 0.0027124871724536737 3.8846647499475044e-11 3.521632479844652e-14 5.275511439650424e-7 0.001473763373332163 0.9955286084508478 48639.937017929806 145919.81444647678 2720.12307422544
720 6.128565207013313e-9 7.864798745964439e-10 0.0001730590304417116 0.001732516505309738 3.8393200546545394e-11 1.8694031810946218e-14 4.0371517704511344e-7 0.0010933691861323939 0.9968839354517062 48978.58355470859 146935.7528098497 2042.831225546559
740 3.1956793920026827e-9 3.2865448184389255e-10 7.857220040040136e-5 0.001127171961648986 3.786539515939688e-11 1.0189418021437313e-14 3.125685334568753e-7 0.000822507046787006 0.9979905941460467 49229.61927222695 147688.85936688288 1540.760263531497
760 1.7057330567989006e-9 1.427959142376568e-10 3.6946192071812124e-5 0.0007467667310074827 3.726989800671501e-11 5.722235856886513e-15 2.446488106748825e-7 0.0006267196927853866 0.9986478078535485 49415.518424386806 148246.55562324263 1168.9629512535384
780 9.302611870558946e-10 6.44196936728771e-11 1.795957138029678e-5 0.0005034383228345237 3.664092814409796e-11 3.3211943660170013e-15 1.935185739773193e-7 0.00048340000252448825 0.999082181078056 49554.26137648423 148662.78465571118 891.4766760984138
800 5.176150204938496e-10 3.01468572738847e-11 9.012416433150697e-6 0.0003452410993015419 3.599029613602335e-11 2.0004573560325908e-15 1.5460715355441904e-7 0.00037713584045911275 0.9992966515759791 49658.40421510925 148975.21300984581 683.1909437274643
820 2.938506914123739e-10 1.4637127617147186e-11 4.667431518271555e-6 0.00024099601210946344 3.5335785021101637e-11 1.257952495898457e-15 1.2470055627185785e-7 0.0002974292872413255 0.999429484391575 49736.67428932458 149210.02289294256 526.6514235718752
840 1.6972901746975917e-10 7.368168543558795e-12 2.492152444031828e-6 0.00017122406706041442 3.468777770340153e-11 8.285576755586143e-16 1.0149128579256249e-7 0.0002369714821193001 0.999547914440825 49796.19783183743 149388.59352354187 407.60434503845516
860 9.977467692880685e-11 3.849000276735857e-12 1.372946001477675e-6 0.00012401421259951572 3.405326599196889e-11 5.739555682967364e-16 8.331043921362076e-8 0.00019062474534172058 0.9997079150096021 49841.4572547447 149524.37196091263 317.0853130479209
880 5.971292741837271e-11 2.088813470957753e-12 7.813296402872153e-7 9.17448847453027e-5 3.3423300936662844e-11 4.184206951911638e-16 6.892691502777862e-8 0.00015470484487607795 0.9997462979446483 49875.869362150945 149627.60771886096 248.26155489635275
900 3.629269069426782e-11 1.1773940748661997e-12 4.5953242445740064e-7 6.940641192853091e-5 3.281556324825135e-11 3.199076889900934e-16 5.746418607970001e-8 0.00012662986817872857 0.999901127668154 49902.37635030856 149707.12866035258 195.24767514835324
920 2.2467160955706637e-11 6.901769425074066e-13 2.7985183520909823e-7 5.3831536389935296e-5 3.2207468573873084e-11 2.5532048958585146e-16 4.823651243592457e-8 0.00010444809053526628 0.9998196791145588 49922.5735433797 149767.72040356023 154.85314432460137
940 1.4102441669576064e-11 4.1969031027664174e-13 1.763155660185696e-7 4.2792909036876345e-5 3.1623786662205e-11 2.1106773686921882e-16 4.076700146853939e-8 8.680692928629262e-5 0.999869718179583 49938.335832909936 149815.0075008035 123.32848936474768
960 8.996016287947225e-12 2.645078586578455e-13 1.1493878375875093e-7 3.489052248009058e-5 3.105389780276935e-11 1.7955746309787784e-16 3.467019132862939e-8 7.265026934898453e-5 0.9998883274574348 49950.53431967322 149851.60265560195 98.93129360914897
980 5.818645836813747e-12 1.721581126330235e-13 7.73592624011995e-8 2.9128649554456683e-5 3.0502418923316226e-11 1.5615383811551376e-16 2.9661722359504426e-8 6.120782736199334e-5 0.999949874443057 49960.106784682044 149880.32020999838 79.78644109450002
1000 3.822621092008318e-12 1.1539454042684394e-13 5.3627756883692914e-8 2.4852852310898892e-5 2.9960450005123596e-11 1.3810379787391743e-16 2.551659071204932e-8 5.1884762862346704e-5 0.9999131110916377 49967.57751724552 149902.73276399536 64.84497490377544
