Temp Th_NH3 Th_NH2 Th_NH Th_N Th_NN Th_NNH Th_N2 Th_H Th P_N2 P_H2 P_NH3
240 0.9978873916837963 2.483707126473541e-10 2.9253937077115708e-5 5.661231861646025e-11 2.253052113899007e-50 -7.006883381470232e-35 5.901528940253857e-51 5.843276107223469e-5 0.0020249212801653005 1.5809249543886242e-41 3.776564483260494e-8 99999.00208335428
260 0.9187675668790501 1.3160195596518786e-9 0.01935511081041224 3.4209420341553296e-5 8.21882951019079e-37 4.846078133687189e-35 5.174708712059378e-36 0.032393258079324326 0.029450901701506965 5.590209223493006e-27 0.003209796559263887 99999.06184276522
280 0.17084385404492908 3.676669585286172e-8 0.6114141482624317 0.010464686180988463 3.985864182834379e-30 5.206953075473282e-29 2.612940477409408e-28 0.14743806831891046 0.05982952577069242 6.455762059026109e-19 0.5533921617577057 99999.20727380003
300 0.005775375047448412 5.7702400909587883e-8 0.9019544192963399 0.06440277950731348 4.628935636687087e-27 2.8226829396520163e-26 1.4795850899198577e-25 0.011459046588508078 0.01641078849777373 5.129149446644347e-15 0.9928290941171691 99999.02787415755
320 0.00029808384709739905 4.2346961129766956e-8 0.7597985445912735 0.23351661491864206 1.2182108427823781e-24 3.1029146791072547e-24 1.7828551094220459e-23 0.0010033709767507466 0.005386612566084871 6.2092202921582e-12 1.1095718026693153 99999.00639079392
340 2.7741390701520687e-5 2.3420314328505398e-8 0.47197912406868486 0.5252361455824953 8.683707202583302e-23 1.0274757539422507e-22 7.95468604929018e-22 0.0001510504727084365 0.0026046001592862746 1.6617259937618066e-9 1.2597578338989779 99999.00275221177
360 3.6363405499147264e-6 9.63274479507664e-9 0.21885055389460653 0.7796181794674122 2.0117389409550426e-21 1.1824777216383477e-21 1.3193712182111986e-20 3.0126666558678234e-5 0.0014970103645150434 1.2484887437868908e-7 1.3882631391292488 99999.00152686934
380 6.036403938643208e-7 3.3685411048963513e-9 0.08761585449684835 0.911432582671178 2.259570406489177e-20 6.895371008259807e-21 1.1304893728313385e-19 7.1367528977410155e-6 0.0009436368531504161 4.031592398329481e-6 1.4547732565908869 99999.00094611832
400 1.294091930506471e-7 1.1559355829208848e-9 0.034607801773933064 0.9647108145476492 1.687093364345522e-19 2.795946605364195e-20 7.179432107465184e-19 2.082574713119963e-6 0.0006792004979457283 7.812410331005356e-5 1.4819073551933704 99999.00052232976
420 6.294503955741725e-8 4.1621875102622803e-10 0.01429997223429499 0.9847006279173405 9.788263595010013e-19 9.224322571621949e-20 7.087405064216507e-18 1.3336575265236664e-6 0.00099743928912001 0.0010777872094346176 1.4945836091196558 99998.99884456486
440 6.202466415929771e-8 1.6270104750447942e-10 0.006320776316053846 0.990972748536229 4.726960610709561e-18 2.6651732785050017e-19 1.0578591454516476e-16 1.699524126250746e-6 0.002705899928679588 0.011472929875932554 1.5271978390647254 99998.97976150714
460 6.186913972526611e-8 7.777710391665209e-11 0.003165864504880024 0.9899774001480272 1.965436565438579e-17 7.367530788671286e-19 1.2507057122140649e-15 2.294507110151368e-6 0.006854802474767408 0.09838209013739872 1.78327708791879 99998.8100928887
480 6.106621249605274e-8 6.741725387867817e-11 0.002182603402928805 0.9818092322529015 7.157143219104874e-17 2.4152039488330434e-18 1.1785887957847888e-14 3.937978901307913e-6 0.016005011204375544 0.6971113669017074 3.566228582931087 99997.62178617028
500 5.945703270590127e-8 1.1807550757446175e-10 0.002183863802016355 0.9631871635858964 2.2994349494386304e-16 1.003253332009483e-17 8.974062652925845e-14 9.145088175809554e-6 0.03461973444123552 4.138090394857741 13.861231217973014 99990.75844831692
520 5.6723060970369054e-8 2.5079381237881803e-10 0.002435855583918699 0.92813754429053 6.51765788018397e-16 4.0855818619005253e-17 5.518598014933363e-13 2.22508357891091e-5 0.06940406588150996 20.650751932639487 63.34688681451795 99957.76792294097
540 5.244788582295476e-8 4.860087574507268e-10 0.002602759757751508 0.8689402256577019 1.6258377749208994e-15 1.4035433763669149e-16 2.7010018587736682e-12 4.909539192162672e-5 0.12840824857785732 86.06869999031896 259.5120888027031 99826.99105681984
560 4.633508720086227e-8 7.85740848900379e-10 0.002526028455959686 0.7797047249947251 3.6076687223217746e-15 3.844407809304405e-16 1.0268117762868783e-11 9.377567180933898e-5 0.21767372362845064 295.4609475125672 887.5548804532136 99408.29587000006
580 3.8543729073396246e-8 1.016390741001844e-9 0.002163503363770238 0.6618371201738984 7.40607383948524e-15 8.124624883220845e-16 2.9623635173690456e-11 0.00015169065664547671 0.3358603355498217 823.9615250695697 2472.87942146788 98351.41293830176
600 2.989885485239186e-8 1.0342343399765268e-9 0.0016126017312000295 0.5272914227610064 1.4579738926005083e-14 1.3064350725080356e-15 6.436787849077427e-11 0.00020624263253292492 0.4708839482318869 1860.2608578397299 5581.575050199236 96278.94934183611
620 2.1653770171252346e-8 8.388921241599312e-10 0.0010527430213560533 0.3950384603704635 2.680817223686178e-14 1.6227023598718776e-15 1.0735303532023173e-10 0.00023831420986839626 0.6036644285198404 3451.00059542537 10353.59518935132 93097.60268208731
640 1.4837819896906574e-8 5.652702828929274e-10 0.000617438927169909 0.28164381981605985 4.3597783796128624e-14 1.6258946005980465e-15 1.4359611166484692e-10 0.00024057377216515308 0.7174886839594793 5431.259406991175 16294.201323799387 89137.19890775433
660 9.81500988213433e-9 3.344055495594656e-10 0.00033703994302079494 0.19447865954193477 6.172811362410833e-14 1.3928800119799313e-15 1.6292683293129337e-10 0.00021991889603002586 0.8049669263942345 7545.7249983522925 22637.466841331676 84908.35519198341
680 6.389277593500499e-9 1.8300172440836568e-10 0.00017707739246484156 0.13230208918086717 7.775994242539351e-14 1.0782375145188327e-15 1.6529809462908498e-10 0.00018836814298764238 0.8674834282507913 9601.068979002754 28803.40547741865 80797.72955352307
700 4.148905142980454e-9 9.635913251548971e-11 9.178319823112073e-5 0.08976797483834735 8.988643306215387e-14 7.85858004546411e-16 1.5609885108622218e-10 0.00015513449981451784 0.9099985727385393 11507.509052397307 34522.66195190842 76984.89194963526
720 2.711417419016045e-9 5.019990426776544e-11 4.773755973117781e-5 0.06126695581189898 9.812885566271171e-14 5.552239880819572e-16 1.4123537764521347e-10 0.0001251704647965286 0.938664846964452 13254.409861184791 39763.32122178869 73491.11913515505
740 1.7910607457962744e-9 2.6307896504199268e-11 2.5140696424468366e-5 0.042238087326204744 1.03058720706142e-13 3.865913564932376e-16 1.2455398783587362e-10 0.00010002106890235628 0.957693980401917 14853.211722448357 44559.69829839899 70293.53433031414
760 1.1983857670907688e-9 1.4026818393569189e-11 1.3477132828098384e-5 0.02948078946947584 1.0552481247088572e-13 2.6806290701138146e-16 1.0829681226796058e-10 7.971922763228776e-5 0.9703632108186211 16330.538262919199 48991.659063896615 67338.89403072253
780 8.129646310932348e-10 7.66760210055182e-12 7.373389558736795e-6 0.02085482840702654 1.0627788069693692e-13 1.8628941687731055e-16 9.349510242231635e-11 6.364826801527802e-5 0.9790298030767517 17708.465786807064 53125.42882321192 64583.04745682386
800 5.59081115707967e-10 4.3204644166392995e-12 4.120150090558116e-6 0.01495209360560575 1.0583073265167361e-13 1.301547495661493e-16 8.04764302611844e-11 5.10201962835011e-5 0.9849807039099746 19005.204158440847 57015.635543053075 61989.576279590954
820 3.896199754529147e-10 2.5201285762217535e-12 2.351271862557621e-6 0.010861483749647084 1.0454984849604149e-13 9.158253213507358e-17 6.92356913191608e-11 4.1111706372664225e-5 0.9890834262685371 20232.57545252002 60697.74346872874 59534.83739568915
840 2.7504125510276465e-10 1.5269783964057677e-12 1.3697175607388628e-6 0.007990882641337606 1.0269779999362802e-13 6.497038039211958e-17 5.962356578265818e-11 3.332257463603044e-5 0.9919733558172305 21396.858582508507 64190.587713268586 57206.27479280381
860 1.9654777470940442e-10 9.635661009030874e-13 8.139998426969241e-7 0.005950840841628924 1.0049662202939864e-13 4.6496246296547824e-17 5.145944788500174e-11 2.7181059305240466e-5 0.9941318960842602 22508.056125841886 67524.17718261252 54983.88187935102
880 1.4209179506981188e-10 6.337621264540984e-13 4.9295682820704e-7 0.004482503627804738 9.801375093447139e-14 3.3560249519217333e-17 4.4518242351771957e-11 2.230698667079271e-5 0.9956139187233675 23565.964385051095 70697.89997848897 52868.066513718484
900 1.0386145040763458e-10 4.342696976555454e-13 3.0394679221749744e-7 0.0034132135974005036 9.534272105998687e-14 2.4430432346921578e-17 3.8616744798717275e-11 1.841742537639651e-5 0.9965937589316812 24573.296080434913 73719.89311886803 50853.404776193835
920 7.671866966855714e-11 3.09412605226935e-13 1.9067611503028249e-7 0.002626087180164556 9.260763152562588e-14 1.794020728658717e-17 3.3606520350254084e-11 1.530016369580324e-5 0.9974039861935975 25536.714178489347 76610.14636919492 48926.56895835558
940 5.723767963828917e-11 2.283976668667288e-13 1.2157217039333572e-7 0.002040186931378233 8.979593399509132e-14 1.3282806620583325e-17 2.933096602432567e-11 1.278251891838814e-5 0.9979115007566225 26452.64355043831 79357.93359819814 47094.71100652559
960 4.310662555352392e-11 1.7392699562831172e-13 7.871768638790247e-8 0.0015995939214192428 8.696634865526231e-14 9.913639001554562e-18 2.5678714380858918e-11 1.0738613819216666e-5 0.9982245366372677 27326.257894265877 81978.77649581862 45347.48230705
980 3.275951444264688e-11 1.3603893189649124e-13 5.1736271961366677e-8 0.0012653439303872095 8.421119339384805e-14 7.460689120473186e-18 2.2560854083682828e-11 9.073247792077085e-6 0.9986984150864909 28163.378944949378 84490.13936623272 43673.24039282265
1000 2.5110749391184792e-11 1.087974283927712e-13 3.4478346771541954e-8 0.0010092212582175355 8.146981390541241e-14 5.657353581991669e-18 1.9879177736182887e-11 7.704821805631715e-6 0.999028445534935 28958.692626280106 86876.07920672516 42082.61375555631
1020 1.940515326727244e-11 8.862080621236533e-14 2.3281345553118615e-8 0.0008112185871157465 7.875292814068056e-14 4.320831571046772e-18 1.7565550217003574e-11 6.574095335038747e-6 0.9991932003853389 29713.911391260954 89141.73484248595 40572.1765462154
1040 1.5112159882801932e-11 7.327886505526237e-14 1.59193537082329e-8 0.0006568971626283321 7.609356729223936e-14 3.3239345004366274e-18 1.556650600632433e-11 5.635685341311025e-6 0.9992920681900297 30433.205087789593 91299.61630557438 39133.58935806483
1060 1.1858539456694903e-11 6.135681346144767e-14 1.1016674838592968e-8 0.0005357353225046785 7.348936380250448e-14 2.5750336779677682e-18 1.3832208363556228e-11 4.852602785056747e-6 0.9993358299328226 31113.84691287421 93341.54131085257 37772.30579322241
1080 9.370658021891748e-12 5.189944601045964e-14 7.712349168537706e-9 0.00043987846912059653 7.09985908963618e-14 2.0086496238168566e-18 1.2329628472421026e-11 4.197517090805131e-6 0.9995480629015121 31766.48606789707 95299.45918843792 36467.027113257995
1100 7.456357325914265e-12 4.428318780534026e-14 5.45777945022373e-9 0.0003634909721389772 6.855418647115023e-14 1.5771724540548703e-18 1.1016495417564753e-11 3.645076847644502e-6 0.9996212469908978 32381.72630142595 97145.17957992993 35236.54727152863
1120 5.972373121413685e-12 3.8062901858645686e-14 3.902439921365911e-9 0.00030220280552837735 6.617443091514322e-14 1.2462737607975338e-18 9.867284431815756e-12 3.1774799096194135e-6 0.9996155395645152 32963.55927381072 98890.67845810401 34072.88102273278
1140 4.813162502173129e-12 3.2917973706516536e-14 2.8180508423121814e-9 0.00025269648720805646 6.388071915246598e-14 9.90822078246817e-19 8.86078040592089e-12 2.7804273546909832e-6 0.9996112875881782 33518.029972980985 100554.0912337252 32963.93917601055
1160 3.902746030443779e-12 2.8627856364953896e-14 2.054724385986257e-9 0.00021250900409496327 6.169725091898782e-14 7.928127319743298e-19 7.978349556678773e-12 2.4423596959230047e-6 0.9998213857951627 34045.88101768208 102137.6425212411 31908.238061143784
1180 3.1827583077125923e-12 2.5016970261228424e-14 1.5113325138212762e-9 0.0001796231820115008 5.953467444563455e-14 6.377979330246049e-19 7.196573840616953e-12 2.1517791468955042e-6 0.9996364070382953 34540.92877935547 103622.78615866182 30918.14240052933
1200 2.6103626753934622e-12 2.1960113649234775e-14 1.1216816990685528e-9 0.00015263703673283434 5.750654589153926e-14 5.163708177650083e-19 6.509564531979005e-12 1.902934180311676e-6 0.9998547181110147 35014.609275198294 105043.82833345153 29970.780870117207
